recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
0,1.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',25.9,117.6
1,2.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',24.6,117.6
2,3.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',7.7,31.2
3,4.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',8.2,36.0
4,5.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',9.7,25.2
5,6.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',2.2,8.4
6,7.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',3.5,10.8
7,8.0,b'erb',b'avionicsmonitoring',b'g',b'2',1982.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',66.6,352.8
8,9.0,b'gal',b'missionplanning',b'g',b'1',1980.0,b'semidetached',b'h',b'l',b'h',b'xh',b'xh',b'l',b'h',b'h',b'h',b'h',b'n',b'h',b'h',b'h',b'n',7.5,72.0
9,10.0,b'gal',b'missionplanning',b'g',b'1',1980.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'vh',b'n',b'h',b'n',b'n',b'n',20.0,72.0
