var value,accuracy,number of features
0.05,0.6655629139072847,1
0.1,0.6655629139072847,1
0.15000000000000002,0.6647987773815588,2
0.2,0.6647987773815588,2
0.25,0.6642893530310748,3
0.3,0.6640346408558329,4
0.35,0.6637799286805909,5
0.39999999999999997,0.6653082017320427,6
0.44999999999999996,0.6655629139072847,7
0.49999999999999994,0.6668364747834946,8
0.5499999999999999,0.6670911869587366,10
0.6,0.6665817626082526,12
0.65,0.6706571574121243,15
0.7000000000000001,0.6726948548140601,19
0.7500000000000001,0.674223127865512,24
0.8000000000000002,0.6770249617931737,31
0.8500000000000002,0.7022414671421294,42
0.9000000000000002,0.7261844116148752,62
0.9500000000000003,0.7363728986245542,110
