var value,accuracy,number of features
0.05,0.49847172694854813,1
0.1,0.49847172694854813,1
0.15000000000000002,0.6637799286805909,2
0.2,0.6645440652063168,2
0.25,0.7129393785022924,3
0.3,0.7322975038206826,4
0.35,0.7536933265410086,5
0.39999999999999997,0.7740703005603667,6
0.44999999999999996,0.782730514518594,7
0.49999999999999994,0.7908813041263373,8
0.5499999999999999,0.7975038206826286,10
0.6,0.8015792154865002,12
0.65,0.8015792154865002,15
0.7000000000000001,0.8087111563932756,19
0.7500000000000001,0.8053998981151299,24
0.8000000000000002,0.80412633723892,31
0.8500000000000002,0.8028527763627101,42
0.9000000000000002,0.7834946510443199,62
0.9500000000000003,0.7580234335201222,110
