var value,accuracy,number of features
0.01,0.981,85
0.02,0.985,62
0.03,0.985,49
0.04,0.985,43
0.05,0.983,42
0.060000000000000005,0.983,38
0.07,0.979,35
0.08,0.98,33
0.09,0.978,31
0.09999999999999999,0.974,27
0.11,0.981,26
0.12,0.978,23
0.13,0.962,18
0.14,0.961,16
0.15000000000000002,0.962,14
0.16000000000000003,0.957,13
0.17000000000000004,0.947,11
0.18000000000000005,0.934,7
0.19000000000000006,0.933,6
0.20000000000000007,0.933,6
0.21000000000000008,0.933,6
0.22000000000000008,0.933,6
0.2300000000000001,0.933,6
0.2400000000000001,0.933,6
0.2500000000000001,0.933,6
0.2600000000000001,0.933,6
0.27000000000000013,0.933,6
0.28000000000000014,0.842,3
0.29000000000000015,0.842,3
0.30000000000000016,0.842,3
0.31000000000000016,0.649,2
0.3200000000000002,0.56,1
0.3300000000000002,0.56,1
0.3400000000000002,0.56,1
0.3500000000000002,0.56,1
0.3600000000000002,0.56,1
0.3700000000000002,0.56,1

