var value,accuracy,number of features
0.05,0.8771929824561403,1
0.1,0.8771929824561403,1
0.15000000000000002,0.8771929824561403,1
0.2,0.8771929824561403,1
0.25,0.8771929824561403,1
0.3,0.8771929824561403,1
0.35,0.8771929824561403,1
0.39999999999999997,0.8771929824561403,1
0.44999999999999996,0.9649122807017544,2
0.49999999999999994,0.9649122807017544,2
0.5499999999999999,0.9649122807017544,2
0.6,0.9649122807017544,2
0.65,0.9298245614035088,3
0.7000000000000001,0.9298245614035088,3
0.7500000000000001,0.9473684210526315,4
0.8000000000000002,0.9473684210526315,5
0.8500000000000002,0.9473684210526315,6
0.9000000000000002,0.9298245614035088,7
0.9500000000000003,0.9298245614035088,10
