var value,accuracy,number of features
0.05,0.9473684210526315,1
0.1,0.9473684210526315,1
0.15000000000000002,0.9473684210526315,1
0.2,0.9473684210526315,1
0.25,0.9473684210526315,1
0.3,0.9473684210526315,1
0.35,0.9473684210526315,1
0.39999999999999997,0.9473684210526315,1
0.44999999999999996,0.9824561403508771,2
0.49999999999999994,0.9824561403508771,2
0.5499999999999999,0.9824561403508771,2
0.6,0.9824561403508771,2
0.65,0.9824561403508771,3
0.7000000000000001,0.9824561403508771,3
0.7500000000000001,0.9473684210526315,4
0.8000000000000002,0.9649122807017544,5
0.8500000000000002,0.9649122807017544,6
0.9000000000000002,0.9649122807017544,7
0.9500000000000003,0.9824561403508771,10
